Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,sellerId,isPChome,isNC17,couponActid,BU
DEABJA-A900C4CF3,DQCD3E,/items/DEABJAA900C4CF3/000001_1640232013.jpg,/items/DEABJAA900C4CF3/000001_1640232013.jpg,TZUMii丹尼多功能收納櫃,"TZUMii 丹尼多功能收納櫃\r\n●如實木質感門框外型設計
●實木腳挑高設計能輕鬆打掃地面
●可依需求堆疊貨拆開使用
●系列搭配使居家質感更提升
●mit品質保證",2980,2980,,,,,1,0,"['C033411', 'C033726', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C034177', 'C034206', 'C034207', 'C034208', 'C034220', 'C034221', 'C034222', 'C034223', 'C033727', 'C033729', 'C033412', 'C034224', 'C034225', 'C033413']",ec
DEDB8A-A900DFMTT,DQCD28,/items/DEDB8AA900DFMTT/000001_1642154810.jpg,/items/DEDB8AA900DFMTT/000001_1642154810.jpg,ASSARI-防潮防蛀塑鋼緩衝半開放雙門鞋櫃(寬96x深37x高112cm),"ASSARI-防潮防蛀塑鋼緩衝半開放雙門鞋櫃(寬96x深37x高112cm)\r\n100%整組可水洗	
緩衝設計不夾手	
防水防潮材質，防白蟻抗腐蝕	
免組裝 專人送到府",2968,2968,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABDE-A900ASEIH,DQCD3C,/items/DEABDEA900ASEIH/000001_1595932014.jpg,/items/DEABDEA900ASEIH/000001_1595932014.jpg,【RICHOME】亞松森三門透氣鞋櫃,"【RICHOME】亞松森三門透氣鞋櫃/鞋架/玄關櫃/置物櫃/收納櫃 (工業風棧板設計)\r\n✓ 時尚簡約工業風格造型
✓ 塑合板貼pu防潑水設計
✓ 大容量空間，可收納20雙鞋
✓ 置物平台空間，適合擺放居家小物
✓ 透氣通風孔兼具把手功能
✓ 三門鞋櫃，可阻隔灰塵
✓ 移動式層板放置長靴，調整收納空間大小",3099,3099,,,,,1,0,"['C033411', 'C033733', 'C033732', 'C034177', 'C033412', 'C033413']",ec
QFAAKZ-A9009KG5W,DQCD28,/items/QFAAKZA9009KG5W/000001_1619601844.jpg,/items/QFAAKZA9009KG5W/000001_1619601844.jpg,ASSARI-水洗塑鋼2.2尺緩衝雙門鞋櫃(寬66深33高117cm),"限時降★原$4540ASSARI-水洗塑鋼2.2尺緩衝雙門鞋櫃(寬66深33高117cm)\r\n100%整組可水洗	
緩衝設計不夾手	
防白蟻抗腐蝕",3034,3034,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEDB90-A900FTN5N,DQCD0D,/items/DEDB90A900FTN5N/000001_1670389926.jpg,/items/DEDB90A900FTN5N/000001_1670389926.jpg,翻斗鞋櫃 超薄 家用進門口 多功能 收納櫃 儲物櫃 多層 鞋架 斗櫃 置物架 收納櫃 置物櫃,翻斗鞋櫃 超薄 家用進門口 多功能 收納櫃 儲物櫃 多層 鞋架 斗櫃 置物架 收納櫃 置物櫃\r\n,3299,3299,,,,,1,0,"['C033411', 'C034185', 'C033663', 'C033664', 'C033665', 'C033726', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C033666', 'C033667', 'C033668', 'C034177', 'C034206', 'C034207', 'C034208', 'C034220', 'C033670', 'C033669', 'C033671', 'C034221', 'C034222', 'C034223', 'C033727', 'C033729', 'C033412', 'C034224', 'C034225', 'C033413']",ec
QFAA92-A900ACIHP,DQCD2B,/items/QFAA92A900ACIHP/000001_1623287157.jpg,/items/QFAA92A900ACIHP/000001_1623287157.jpg,Boden-艾柏2.9尺推門/拉門鞋櫃(五色可選),"Boden-艾柏2.9尺推門/拉門鞋櫃(五色可選)\r\n簡約時尚造型，五色隨意挑選
嚴選防蛀木心板，穩固更耐用
厚實檯面設計，獨特造型把手
推門式的設計，節省開合空間
耐磨塗裝，保護色澤持久亮麗
防刮腳墊設計，防止地板刮傷
專人送到府／免組裝！",3174,3174,,,,,1,0,"['C033411', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C034177', 'C033729', 'C033412', 'C033413']",ec
QFAABZ-A900ASBTX,DQCD3C,/items/QFAABZA900ASBTX/000001_1595848733.jpg,/items/QFAABZA900ASBTX/000001_1595848733.jpg,【RICHOME】凱特琳三門鞋櫃,"【RICHOME】凱特琳三門鞋櫃/鞋架/玄關櫃/置物櫃/收納櫃(工業風棋盤格設計)\r\n✓ 方格拼貼工業風造型
✓ 塑合板貼pu防潑水設計
✓ 掀蓋式防塵收納小物，實用超方便
✓ 大容量空間，最多收納20雙鞋
✓ 透氣孔通風設計，鞋子不悶臭
✓ 三門鞋櫃，有效阻隔灰塵
✓ 可移動層板放置長靴，調整收納空間大小",3380,3380,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABJA-A900BRSYB,DQCD3E,/items/DEABJAA900BRSYB/000001_1651039686.jpg,/items/DEABJAA900BRSYB/000001_1651039686.jpg,TZUMii朵拉四門三抽衣櫃,"TZUMii朵拉四門三抽衣櫃\r\n●一組多功能收納空間
●小空間必備品
●層板可以需求調整
●mit品質保證",3799,3799,,,,,1,0,"['C033411', 'C033726', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C034177', 'C034206', 'C034207', 'C034208', 'C034220', 'C034221', 'C034222', 'C034223', 'C033727', 'C033729', 'C033412', 'C034224', 'C034225', 'C033413']",ec
DEDB8Z-A900DXBEV,DQCD0C,/items/DEDB8ZA900DXBEV/000001_1643187960.jpg,/items/DEDB8ZA900DXBEV/000001_1643187960.jpg,YOIMONO LIVING「工業風尚」輕便玄關衣帽鞋架 (五層/60CM),"YOIMONO LIVING「工業風尚」輕便玄關衣帽鞋架，租屋換屋輕鬆拆裝！ (五層/60CM)\r\n★安裝簡單，拆裝容易。
★租屋換屋，輕鬆搬運。
★玄關收納，一組搞定。
★工業風格，極致時尚。",279,279,,,,,1,0,"['C033411', 'C034185', 'C033726', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C034177', 'C034206', 'C034207', 'C034208', 'C034220', 'C034221', 'C034222', 'C034223', 'C033727', 'C033729', 'C033412', 'C034224', 'C034225', 'C033413']",ec
DEDB8Z-A900DXBDC,DQCD0C,/items/DEDB8ZA900DXBDC/000001_1643187603.jpg,/items/DEDB8ZA900DXBDC/000001_1643187603.jpg,YOIMONO LIVING「工業風尚」輕便玄關衣帽鞋架 (五層/60CM),"YOIMONO LIVING「工業風尚」輕便玄關衣帽鞋架，租屋換屋輕鬆拆裝！(五層/60CM)\r\n★安裝簡單，拆裝容易。
★租屋換屋，輕鬆搬運。
★玄關收納，一組搞定。
★工業風格，極致時尚。",279,279,,,,,1,0,"['C033411', 'C034185', 'C033726', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C034177', 'C034206', 'C034207', 'C034208', 'C034220', 'C034221', 'C034222', 'C034223', 'C033727', 'C033729', 'C033412', 'C034224', 'C034225', 'C033413']",ec
QFAAKZ-A900A52UK,DQCD28,/items/QFAAKZA900A52UK/000001_1562731786.jpg,/items/QFAAKZA900A52UK/000001_1562731786.jpg,ASSARI-利奧木心板附抽4尺鞋櫃(寬121x深41x高106cm),"ASSARI-利奧木心板附抽4尺鞋櫃(寬121x深41x高106cm)\r\n全木芯板材質	
緩衝門片設計	
頂板加厚耐重耐用	
台灣製免組裝",3936,3936,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
QFAAKZ-A900A52UR,DQCD28,/items/QFAAKZA900A52UR/000001_1562731924.jpg,/items/QFAAKZA900A52UR/000001_1562731924.jpg,ASSARI-利奧木心板附抽2.7尺高鞋櫃(寬81x深39x高181.5cm),"限時降★原$5970ASSARI-利奧木心板附抽2.7尺高鞋櫃(寬81x深39x高181.5cm)\r\n全木芯板材質	
緩衝門片設計	
頂板加厚耐重耐用	
台灣製免組裝",4037,4037,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A900G3Z8K,DQCD3G,/items/DEABHVA900G3Z8K/000001_1678069701.jpg,/items/DEABHVA900G3Z8K/000001_1678069701.jpg,《HOPMA》樂活開放式十層鞋櫃 玄關櫃 開放收納櫃 置物邊櫃 鞋架-拼版柚木,"《HOPMA》樂活開放式十層鞋櫃 玄關櫃 開放收納櫃 置物邊櫃 鞋架-拼版柚木\r\n。mit台灣製 
。diy自行組裝 
。六片活動層板，可依需求調整高度

◤拼版柚木",1099,1099,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEABHV-A900G3Z75,DQCD3G,/items/DEABHVA900G3Z75/000001_1678069355.jpg,/items/DEABHVA900G3Z75/000001_1678069355.jpg,《HOPMA》樂活開放式十層鞋櫃 玄關櫃 開放收納櫃 置物邊櫃 鞋架-淺橡(漂流)木,"《HOPMA》樂活開放式十層鞋櫃 玄關櫃 開放收納櫃 置物邊櫃 鞋架-淺橡(漂流)木\r\n。mit台灣製 
。diy自行組裝 
。六片活動層板，可依需求調整高度

◤拼版柚木",1099,1099,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
DEDB8N-A900G6IM5,DQCD02,/items/DEDB8NA900G6IM5/000001_1680072892.jpg,/items/DEDB8NA900G6IM5/000001_1680072892.jpg,【寶德家居】客廳簡約鞋櫃三門 D00244(鞋櫃 櫃子 玄關 客廳 收納櫃 置物櫃),【寶德家居】客廳簡約鞋櫃三門 D00244(鞋櫃 櫃子 玄關 客廳 收納櫃 置物櫃)\r\n,1588,1588,,,,,1,0,"['C033411', 'C034185', 'C033663', 'C033664', 'C033665', 'C033726', 'C033728', 'C033733', 'C033731', 'C033730', 'C033732', 'C033666', 'C033667', 'C033668', 'C034177', 'C034206', 'C034207', 'C034208', 'C034220', 'C033670', 'C033669', 'C033671', 'C034221', 'C034222', 'C034223', 'C033727', 'C033729', 'C033412', 'C034224', 'C034225', 'C033413']",ec
DEABHV-A900G0AP9,DQCD3G,/items/DEABHVA900G0AP9/000001_1676259540.jpg,/items/DEABHVA900G0AP9/000001_1676259540.jpg,《HOPMA》大容量二門一抽鞋櫃 玄關櫃 收納櫃 置物邊櫃 鞋架-拼版柚木,"《HOPMA》大容量二門一抽鞋櫃 玄關櫃 收納櫃 置物邊櫃 鞋架-拼版柚木\r\n★mit台灣製造
★diy自行組裝
★霧黑金屬質感把手
★抽屜防落安全卡榫
★磁扣開合設計",1299,1299,,,,,1,0,"['C033411', 'C034177', 'C033412', 'C033413']",ec
